"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Technician (Electrical)","Electrician  Construction  Repair","totalFOOD Processing Pvt Ltd","Not specific","Description: TotalFood Processing Pvt Limited, Bangladesh (https://totalfoodprocessing.com) is a state-of-the-art shrimp and fish processing factory located in Rupsha, just on the outskirts of divisional city Khulna, 170 km from the capital city Dhaka, beside the Khulna-Dhaka Highway. The seaport is just 30km and the airport (under construction) is just 10km away from the factory premise. The area covers approximately 20 acres of land under our TotalFood title.  The factory is designed with extensive and rigorous consultations with various local and international experts. It is our ambition to become a game changer in the Bangladesh Shrimp processing industry. 
More About Us: Our UK business, TotalFood Distribution Limited, has been operating since 1996. We have a purpose-built cold storage facility with a fleet of refrigerated company branded vehicles for distribution of our products, covering London and the South East of England. We distribute a wide range of frozen products to our customers who are restaurants, wholesalers, cash & carry outlets, small distributors and retail outlets
Sr. Technician (Electrical) is responsible for day to day operation & maintenance work of the Electrical Section and all other Electrical works of the TFPPL. His prime responsibility is to attend complaints coming from the production & Utility section and inform the Project Engineer / Senior Project Engineer /Lead Project Engineer about the problem and solve this problem according to instruction of the Project Engineer/Senior Project Engineer/Lead Project Engineer.","Description: TotalFood Processing Pvt Limited, Bangladesh (https://totalfoodprocessing.com) is a state-of-the-art shrimp and fish processing factory located in Rupsha, just on the outskirts of divisional city Khulna, 170 km from the capital city Dhaka, beside the Khulna-Dhaka Highway. The seaport is just 30km and the airport (under construction) is just 10km away from the factory premise. The area covers approximately 20 acres of land under our TotalFood title.  The factory is designed with extensive and rigorous consultations with various local and international experts. It is our ambition to become a game changer in the Bangladesh Shrimp processing industry.","Full-time","HSC","Age at least 25 years","Khulna","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Plumbing Engineer","Electrician  Construction  Repair","Anwar Landmark Ltd. (A sister concern of Anwar Group of Industries)","Not specific","Analyzing buildings to determine suitable plumbing systems
Managing the design and implementation of water and piping systems
Helping clients identify ideal plumbing equipment
Hiring, training and supervising junior plumbing engineers
Developing project drawings and design amendments
Troubleshooting drainage issues and recommending long-term solutions
Travelling to businesses and homes to assess existing plumbing systems
Enforcing compliance with workplace health and safety regulations
Interpreting blueprints to plan the installation of plumbing systems
Replacing or repairing plumbing-related devices
Helping clients estimate the costs of plumbing projects
Updating executives and investors on a plumbing project's progress
Developing stormwater safety systems for public venues
Designing and implementing sewer systems
Managing plumbing departments in construction firms","Analyzing buildings to determine suitable plumbing systems","Full-time","Diploma in Civil / Mechanical Engineering from any public poly technical institute","Age at least 25 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Technician (Electrical & Mechanical)","Electrician  Construction  Repair","IALT FOOTWEAR LTD.","01","Full Time","Compiles machineries records by recording service and repairs.","Full-time","SSC","Age 25 to 35 years","Narayanganj","Tk. 25000 - 30000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"সার্ভিস ইঞ্জিনিয়ার (প্রিন্টার)","Electrician  Construction  Repair","IT PALACE","Not specific","কুমিল্লা শহরের একটি স্বনামধন্য আইটি প্রতিষ্ঠানের জন্য অভিজ্ঞতা সম্পন্ন প্রিন্টার সার্ভিস ইন্জিনিয়ার নিয়োগ করা হবে।","সংশ্লিষ্ট বিষয়ের উপর অভিজ্ঞতা থাকতে হবে।","Full-time","SSC","Age at most 50 years","কুমিল্লা","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"জুনিয়র ইনস্ট্রাক্টর(ইলেকট্রিক্যাল)","Electrician  Construction  Repair","RANGPUR INSTITUTE OF TECHNOLOGY(RIT)","3","রংপুর ইনস্টিটিউট অব টেকনোলজি (RIT), রংপুর এ জুনিয়র ইনস্ট্রাক্টর (ইলেকট্রিক্যাল) জরুরী ভিত্তিতে নিয়োগ দেওয়া হবে।","","Full-time","সংশ্লিষ্ট বিষয়ে ডিপ্লোমা-ইন-ইঞ্জিনিয়ারিং।","Age at least 25 years","রংপুর (রংপুর সদর)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Project Civil Engineer","Electrician  Construction  Repair","Majesto Limited","1","We are looking for an expert civil engineer who has experienced on steel structure construction, site supervision, vendor and worker management for successful implementation of construction work.","We are looking for an expert civil engineer who has experienced on steel structure construction, site supervision, vendor and worker management for successful implementation of construction work.","Full-time","Bachelor of Science (BSc) in Civil Engineering","Age 28 to 40 years","Narayanganj (Sonargaon)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Electrical/Machine Maintenance Engineer","Electrician  Construction  Repair","Haoliwang International","2","Part time job of sell generator and compressor.","Haoliwang international (https://chinamachinebd.com/), office in Uttara, Sell screw air compressor and industrial generator. We need part time sales and machine repair engineer.","Part-time","SSC","Age at least 20 years","Anywhere in Bangladesh","NegotiableAfter sell, we can give you some commission (at least 100,000tk per set).""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"সুপারভাইজার/ সহকারী সুপারভাইজার","Electrician  Construction  Repair","A Reputed Company","Not specific","একটি বাণিজ্যিক ভবন পরিচালনা ও দেখাশোনা করার জন্য জরুরী ভিত্তিতে কিছু সংখ্যক সুপারভাইজার আবশ্যক।","প্রজেক্টে কর্মরত সাপোর্ট স্টাফদের পরিচালনা করা।","Full-time","Diploma in Engineering","Age 20 to 35 years","ঢাকা","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Electrician (Poultry Hatchery/Farm)","Electrician  Construction  Repair","New Hope Farms Bangladesh Ltd.","02","English literature must.
Capable to work in stress and under pressure.
Active and pre-planed on duty.
Hard working and studious attitude.
Honest personality with team-spirit.","English literature must.","Full-time","Diploma in Electrical","Age 20 to 35 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Lab Technician -Construction","Electrician  Construction  Repair","Samuda Construction Ltd.","Not specific","Samuda Construction Limited (SCL) is located at Bangabandhu Sheikh Mujib Shilpa Nagor, Mirsarai, Chattogram has started its journey with a vision to provide economical, sustainable & faster solutions with a commitment to creating a legacy. SCL manufactured Pre-tensioned High Strength Concrete Piles (PHC Piles). We are currently looking for an energetic Lab Technician professional for our plant. If you are ready to take the challenging career journey, please find the details and apply as per the instructions:","Testing Materials:","Full-time","SSC","Age at least 20 years","Chattogram (Mirsharai)","Negotiable"
