"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Graphic Designer","Design Creative","HMBR Tools & Chemichals Ltd.","02","We are looking for creative Graphic designer with up- to- date knowledge. Expert on logo design,brochure,annual calendar, packaging design, greeting card etc. Job location will be ""HMBR Tools And Chemicals Ltd."" kudabo, Mirer Bazar,Joydebpur, Gazipur.","Think creatively and develop new design concepts, graphics and layouts.","Full-time","Diploma or Bachelor of science (B.Sc) in Graphic Design","Age 24 to 32 years","Gazipur","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Manager, Design & Development","Design Creative","Wave Riders Limited (Turaag Active)","1","Research on current fashion trends international/local, forecasting & determining customer demand.Collaborate with the team to develop new ideas for new range based on research dataPrepare mood board, and color pallets.Develop styles & fabric/materials concept Direct team to execute design, make range to get approval.Plan materials/fabric concept and assign concern to execute.Plan and follow up trims & accessories sourcing.Sample execution follow-up and take necessary step to done by the deadline.Prepare sample range by the deadline and arrange sign off meeting to select style to proceed in bulk.Follow up fit sample, and conduct fit session with fit concern.Engage in product photo shoot and ensure quality, fit & product concept.Provide lab-dip, trims, fabric, styling and finalize PP approval.Report to the management on running and upcoming projects.","Research on current fashion trends international/local, forecasting & determining customer demand.","Full-time","At least 5 year(s)","Age at least 28 years","Dhaka (Gulshan)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Graphic Designer","Design Creative","Stech Group","1","Permanent","Support the marketing department's initiatives to execute marketing","Full-time","Bachelor degree in any discipline","Age 20 to 35 years","Dhaka (Banani)","Tk. 25000 - 30000 (Monthly)Salary will be based on applicants previous work performance & quality.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Graphics Designer & Video Editor","Design Creative","Halalz Bangladesh Ltd.","Not specific","We are looking for a Junior Creative Graphic Designer for overall contents of Web & social media, Product Mockup, Motion Graphics, and Video Editing. He will be get the opportunity to work for a global E-commerce business along with different SaaS platforms.","Make High quality and creative content like social media post images, website banners, etc. by applying design principles, typography, and color theory.","Full-time","Education qualification is optional as long as you have design skills and knowledge.","Age at least 22 years","Dhaka (DOHS Mirpur)","TK. 12000 on probation period.
TK. 20000-25000 after completing the period.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Audio-Visual & Motion Executive (Video Editing Expert)","Design Creative","Property Index","1","Property Index Ltd is a dynamic and innovative Real Estate company dedicated to ensure that all the people of Bangladesh have access to a trusted and secure real estate service provider. We pride ourselves on delivering high-quality Real Estate product to our clients and are constantly pushing the boundaries of creativity and technology to achieve excellence.","Collaborate with the creative team to conceptualize, plan, and execute audio-visual projects.","Full-time","Skills Required: video editing","Age 25 to 40 years","Anywhere in Bangladesh","Tk. 15000 - 18000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive, Design & Development","Design Creative","Wave Riders Limited (Turaag Active)","1","Research and analyze on trend and market intel.
Prepare mood board, color palate and product range plan.
Develop style and materials concept.
Execute designs to make range to get approval.
Provide sample query to product developer.
Plan materials/fabric concept and provide query to product developer to source
Plan trims & accessories, and provide to source. 
Sample execution follow-up, cooperate & report to team lead.
Get sample range prepared before the set deadline.
Follow up fit sample, conduct fit session with fit concern for feedbacks.
Engage in product photo shoot to ensure quality, fit and product concept.
Get lab-dip, trims, fabric & styling for approval and check with team lead.","Research and analyze on trend and market intel.","Full-time","Bachelor's degree in Fashion Design or a related field.","Age at least 25 years","Dhaka (Gulshan)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Fashion Designer / Fashion Designer","Design Creative","A 100% export oriented garment industry.","02","Creating seasonal collections from Idea generation to TechPack making, material selection as per international market demand.
Keeping up to date with emerging fashion trends as well as general trends relating to fabrics, colors and silhouettes.
Planning and developing ranges with the time frame.
Creating trend tech packs and mood boards for own collection
Working with others in the team to develop products.
Understanding design from a technical perspective, i.e. producing patterns and technical specifications for designs
Sourcing, selecting and buying fabrics, trims, fastenings and embellishments.
Negotiating with customers and suppliers
Any other responsibility assigned by the management.","Creating seasonal collections from Idea generation to TechPack making, material selection as per international market demand.","Full-time","Bachelor of Science (BSc) in Fashion Design  Technology, Bachelor of Arts (BA)","Age 25 to 40 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Computer cum Auto CAD Operator","Design Creative","Engineers and Consultants Bangladesh Ltd.","1","Prepare Civil and Architectural Design & Drawing by using latest version AutoCAD software.
Prepare/update Single Line Diagram of Substation & Line.
Map Digitization.
Develop/update of Digital Map from existing Map as per required scale.
Sufficient knowledge about interior design and exterior design of building/structure.
Design visually stunning graphics and animations for various digital platforms.
Prepares detailed 2D/3D models and drawings of architectural design and plans for single and multifamily buildings using Auto CAD and sketch up.
Preparing image-rich PowerPoint presentations and videos.
Any other job relating to as assigned by management from time to time.","Prepare Civil and Architectural Design & Drawing by using latest version AutoCAD software.","Full-time","At least 5 year(s)","Age 25 to 35 years","Dhaka (Dhanmondi)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Photographer And Video Editor","Design Creative","RS Event Management","1","We are looking for an organized and creative Video Editor/ videographer to work with our creative team
Creative ideas and concepts of various pictures.
Taking professional photos.
Can able to setup and run light and other accessories like gimble, slider, GoPro etc.
Ensure quality/resolution of 5.photographs/images, color mode and size of the file for implementation.
Maintain an in depth understanding of photographic best practices and procedures.
Conceptualize and design visually appealing graphics and illustrations for various digital and print materials, including websites, social media, marketing campaigns, and promotional materials
Excellent design skills, including the effective use of color, form, and composition.
Should design and create graphics according to the guidelines and instructions.
Good understanding power to receive the instruction for designing.","We are looking for an organized and creative Video Editor/ videographer to work with our creative team","Full-time","Bachelor of Arts (BA)","Age 30 to 40 years","Narayanganj (Narayanganj Sadar)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Product Developer / Developer","Design Creative","A 100% export oriented garment industry.","02","Collaborate closely with the Product Development Manager to execute the entire product development process, ensuring timelines and quality standards are met under the Manager's guidance.
Work hand in hand with the design teams to bring innovative and marketable product concepts to life, aligning with customer needs and brand strategy.
Conduct thorough market research to identify emerging trends and consumer preferences, translating these insights into innovative and competitive product offerings.
Engage collaboratively with cross-functional teams, including design, sourcing, merchandising, and marketing, to ensure a unified product vision and successful execution.
Oversee critical tasks such as product testing, sample review, and quality assurance, ensuring products align with internal standards and regulatory requirements.
Assist in managing and mentoring a team of product developers, offering guidance and support to foster their professional growth and development.
Participate in competitive analysis and benchmarking activities to remain updated on industry trends and pinpoint opportunities for enhancement.
Establish and cultivate robust relationships with suppliers and vendors, guaranteeing adherence to quality standards and technical specifications.
Collaborate seamlessly with cross-functional teams to infuse sustainability principles into the product design and development process.
Contribute to impactful product presentations to key stakeholders.
Stay attuned to market trends, innovative advancements, and dynamic market dynamics that may influence product strategies.
Demonstrate ability to meet deadlines and adhere to timelines within budgetary constraints.","Collaborate closely with the Product Development Manager to execute the entire product development process, ensuring timelines and quality standards are met under the Manager's guidance.","Full-time","Bachelor of Science (BSc) in Fashion Design  Technology, Bachelor of Arts (BA)","Age 25 to 40 years","Gazipur (Sreepur)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
